目标院校,目标院校可申请专业,主要对口科系（符合专业主要学术方向）,次要可行科系（申请材料与作品集中必须向该专业主要学术方向靠拢，或体现相关技能与认知）,专业匹配说明,爬藤赛道
加州大学洛杉矶分校University of California Los Angeles,MFA Animation动画,动画,,侧重动画创作与技术，作品需展现角色设计、动画叙事及数字制作为核心能力，可在传统与数字动画间探索多元风格。,DT，AT
加州大学洛杉矶分校University of California Los Angeles,MFA Art纯艺术,纯艺，摄影,数字媒体,注重当代艺术实践与个人创作表达，作品应体现观念深度与技法多样性，能融合跨媒介探索与批判性思维。,AT，AH
加州大学洛杉矶分校University of California Los Angeles,MArch Professional Degree建筑学,建筑,,专业型建筑学位，强调设计与实践的系统培养，作品需突出对空间构成、材料技术及建筑理论的综合掌握。,DT，DH
加州大学洛杉矶分校University of California Los Angeles,MS in Architecture and Urban Design (MSAUD)建筑与城市设计,建筑,,面向已有建筑背景的城市设计进阶研究，需展示对城市尺度、空间策略及前沿议题的深度理解与设计创新。,DT，DH
加州大学洛杉矶分校University of California Los Angeles,M.A. in Architecture建筑学,建筑,,偏研究导向的建筑硕士，强调学术理论与设计思维的结合，作品与研究计划应体现对建筑文化、历史与创新课题的多维探索。,DT，DH
加州大学洛杉矶分校University of California Los Angeles,MFA Design Media Arts设计媒体艺术,交互，数字媒体,,聚焦数字技术与交互在艺术表达中的应用，需展现多媒介创作与技术融合的创新能力，作品可结合沉浸式体验或新兴平台。,DT，AT
加州大学洛杉矶分校University of California Los Angeles,MFA Design for Theater and Entertainment剧院与娱乐设计,戏服设计，舞台,,涵盖舞台与影视娱乐的视觉设计，作品应展示在服装、布景或综合舞台效果上的创意实现与空间把控。,DT，DH，ADB
加州大学洛杉矶分校University of California Los Angeles,MA Cinema & Media Studies 电影与媒体研究,电影,数字媒体,强调影视与数字媒体融合的全流程制作，作品需体现叙事结构、影像美学及技术实现的综合运用。,AT，AH
加州大学洛杉矶分校University of California Los Angeles,Master of Urban and Regional Planning (M.U.R.P.)城市与区域规划,建筑，城市,景观,,DH
加州大学洛杉矶分校University of California Los Angeles,MFA Cinematography 电影摄影,电影，摄影,,,AT，AH
加州大学洛杉矶分校University of California Los Angeles,MFA Producers Program制片人项目,电影,,,ADB
加州大学洛杉矶分校University of California Los Angeles,MFA Production/Directing – Documentary 制作/导演-纪录片,电影,,,AH
加州大学洛杉矶分校University of California Los Angeles,MFA Production/Directing – Narrative 制作/导演-叙事,电影,,,AH
加州大学洛杉矶分校University of California Los Angeles,MFA Screenwriting 编剧,电影,,,AH
芝加哥大学University of Chicago,"Master of Arts program in Digital Studies of Language, Culture, and History(2-Year MA in Media and Extended Reality)语言、文化和历史数字研究（媒体与扩展现实2年学位）",数字媒体,交互，游戏,面向语言、文化与历史的数字化研究，数字媒体背景契合核心需求，也可结合交互或游戏化思维探索沉浸式扩展现实与文化表达。,AH
芝加哥大学University of Chicago,Master of Fine Arts纯艺术,摄影，纯艺,,强调艺术创作的实验性与批判性，摄影或纯艺背景能展现多元化视觉语言，作品应体现观念深度与独特的个人风格。,AH
西北大学Northwestern University,M.S. in Engineering Design Innovation (EDI)工程设计创新,工业，交互,建筑，数字媒体,项目结合设计思维与工程创新，工业与交互背景契合度高，也可融入建筑思维拓展跨尺度设计与系统化方案。,DT，ADB
西北大学Northwestern University,MS in Leadership for Creative Enterprises创意企业领导,策展&艺术管理,时尚管理,聚焦创意产业的领导与管理，策展与艺术管理背景可凸显文化项目统筹能力，也可结合时尚管理延伸品牌与市场价值。,ADB
西北大学Northwestern University,MFA in Stage Design舞台设计,舞台,,专注剧场与表演空间的视觉设计，作品需展现对场景构成、灯光氛围及角色塑造的综合把控。,AT
西北大学Northwestern University,Master of Fine Arts in Directing导演,电影,,强调导演在影视与舞台的创作与统筹，作品需体现叙事能力、人物调度与艺术风格的多元结合。,AH
西北大学Northwestern University,MFA in Documentary Media纪录片,电影,,,
西北大学Northwestern University,M.S. in Journalism新闻,传媒,,注重新闻报道与媒体技能，申请者需展示深度采访、写作及对数字媒体趋势的洞察能力。,AH
西北大学Northwestern University,"MFA Art, Theory, and Practice艺术理论与实践",纯艺，摄影,,,AH
西北大学Northwestern University,Master of Science in Project Management项目管理,工业，交互,,,ADB
西北大学Northwestern University,Master of Product Design and Development Management产品设计与开发管理,,工业，交互,,
约翰霍普金斯大学Johns Hopkins University,Master of Arts in Film and Media电影与媒体,电影,,面向电影与媒体领域的综合实践，作品或项目需体现影像创作、叙事结构与媒介融合的综合能力。,AH，AT
约翰霍普金斯大学Johns Hopkins University,M.A. in Communication传媒,传媒,数字媒体,强调传播理论与实践，作品或经验应展现对媒体渠道、信息策划与受众分析的系统思维。,AH
纽约大学New York University,"Media, Culture, and Communication (MA)媒体，文化与传媒",传媒,数字媒体，交互,专注传媒与文化研究的多元议题，作品应呈现对社会、文化与媒体生态的批判性思考与调研能力。,DT，DH
纽约大学New York University,MFA Game Design游戏设计,游戏,,专注游戏设计与创意开发，作品需体现对玩法机制、互动叙事及技术实现的整合能力。,DT，DH
纽约大学New York University,MS Games for Learning教育游戏,游戏,,面向学习与游戏化的结合，作品或项目需展现对教学目标、游戏化策略及用户体验的统筹。,DT，DH
纽约大学New York University,MPS in Interactive Telecommunications交互通信,交互，数字媒体,游戏，工业,强调交互技术与通信创新，交互与数字媒体背景契合，也可结合游戏或工业领域拓展多场景应用。,DT
纽约大学New York University,MFA Studio Art艺术,纯艺，摄影,数字媒体,侧重当代艺术创作与多媒介探索，纯艺与摄影背景可融合数字媒体手段，作品需展现个人风格与实验性思维。,AH，AT
纽约大学New York University,MS Integrated Digital Media 综合数字媒体,交互，数字媒体,,注重数字媒体技术与交互设计的跨学科融合，作品应展示在用户体验、数据可视化及新兴平台运用方面的创新。,DT，AT
纽约大学New York University,MS Applied Urban Science and Informatics应用城市科学与信息学,交互,建筑，城市,聚焦城市数据与技术应用，可在交互设计思维下优化城市系统与用户体验，作品应体现对城市议题的系统分析与解决。,DT，ADB
纽约大学New York University,MA in Learning Technology and Experience Design学习技术与体验设计,交互，数字媒体,游戏,面向教育与体验设计，需结合交互与数字媒体技术，若具游戏背景可在学习场景中运用游戏化策略。,DT，DH
纽约大学New York University,MA Visual Arts Administration视觉艺术管理,策展&艺术管理,,专注艺术机构运营与策划，作品可突出对艺术市场、策展规划及观众互动的理解与执行能力。,ADB
纽约大学New York University,Masters (MS) in Integrated Marketing--Brand Management Concentration综合营销-品牌管理,策展&艺术管理，时尚管理,,聚焦品牌塑造与整合营销，策展或艺术管理背景可结合时尚管理延伸多维度营销策略与文化定位。,ADB
纽约大学New York University,MA Arts Politics艺术政治,策展&艺术管理，传媒,,探讨艺术与政治、社会议题的交集，需展现对公共领域、文化政策与媒体话语的批判性研究与实践能力。,AH
纽约大学New York University,MA Museum Studies博物馆学,策展&艺术管理,,面向博物馆运营与策展研究，作品或经验应体现对馆藏管理、展陈设计及观众体验的综合统筹。,AH，ADB
纽约大学New York University,MFA Design for Stage and Film舞台和电影设计,戏服设计，舞台,,涵盖舞台与影视场景的整体设计，需在作品中呈现对角色服装、布景及灯光氛围的协调掌控。,AH
纽约大学New York University,MA in Costume Studies戏服设计,戏服设计,,专注戏服历史、理论与设计实践，需体现对服装文化与演出场景的深度理解及创意运用。,DH，AH
纽约大学New York University,MA / MS Costume Studies / Library and Information Science Dual Degree戏服与图书馆信息科学双学位,戏服设计,,戏服设计与该项目对服饰文化研究、文献保存及信息管理的交叉需求相契合，能展现申请者对服装艺术与图书馆学的综合理解；申请者需在作品集中突出对服装历史、材料运用及研究方法的掌握，并在文书中强调对信息检索、资料整合及跨学科合作能力的深度思考。,DH，AH
纽约大学New York University,Graduate Film电影,电影,,电影专业与该项目对导演创作、视觉叙事及行业实践的核心要求高度契合，能够充分展示申请者对影像表达和艺术创新的能力；申请者需在作品集中呈现对剧本、分镜及制作流程的系统理解，并在文书中突出个人创意与社会文化思考的融合，以彰显其未来在影视行业的潜力。,AH
纽约大学New York University,Cinema Studies 电影研究,电影,,,AH
纽约大学New York University,Masters of Arts in Interactive Media Arts Low Residency 互动媒体艺术（低驻留制）,交互，数字媒体，游戏,,,AT，DT，DH
纽约大学New York University,MPS in Virtual Production 虚拟制作,数字媒体，交互，游戏,,,AT，DT
纽约大学New York University,"Master of Arts Art, Education, and Community Practice艺术，教育和社区实践",,交互，工业，纯艺，室内，建筑,,AH
纽约大学New York University,MA Art Therapy 艺术疗愈,,纯艺,,AH
纽约大学New York University,MS Management of Technology 技术管理,,交互，工业，数字媒体,,DT，ADB
纽约大学New York University,Master's degree in Interdisciplinary Studies 跨学科研究,交互，数字媒体，纯艺,游戏,,AT，DT，DH，AH
纽约大学New York University,Master's of Science in Information Systems（MSIS）信息系统,,交互,,DT，ADB
纽约大学New York University,Master's Degree in Urban Planning城市规划,建筑，城市,,,AH
